inclusion_index,exclusion_index,exclusion_code,regex_prefix
8,1,P10-P15,^P10
8,1,P10-P15,^P11
8,1,P10-P15,^P12
8,1,P10-P15,^P13
8,1,P10-P15,^P14
8,1,P10-P15,^P15
8,1,P52.4,^P524
8,1,P52.6,^P526
8,1,P52.8,^P528
8,1,P52.9,^P529
9,1,P10-P15,^P10
9,1,P10-P15,^P11
9,1,P10-P15,^P12
9,1,P10-P15,^P13
9,1,P10-P15,^P14
9,1,P10-P15,^P15
9,1,P52.4,^P524
9,1,P52.6,^P526
9,1,P52.8,^P528
9,1,P52.9,^P529
16,1,P10-P15,^P10
16,1,P10-P15,^P11
16,1,P10-P15,^P12
16,1,P10-P15,^P13
16,1,P10-P15,^P14
16,1,P10-P15,^P15
16,1,P52.4,^P524
16,1,P52.6,^P526
16,1,P52.8,^P528
16,1,P52.9,^P529
17,1,P10-P15,^P10
17,1,P10-P15,^P11
17,1,P10-P15,^P12
17,1,P10-P15,^P13
17,1,P10-P15,^P14
17,1,P10-P15,^P15
17,1,P52.4,^P524
17,1,P52.6,^P526
17,1,P52.8,^P528
17,1,P52.9,^P529
26,1,P10-P15,^P10
26,1,P10-P15,^P11
26,1,P10-P15,^P12
26,1,P10-P15,^P13
26,1,P10-P15,^P14
26,1,P10-P15,^P15
26,1,P52.4,^P524
26,1,P52.6,^P526
26,1,P52.8,^P528
26,1,P52.9,^P529
8,2,P07,^P07
9,2,P07,^P07
16,2,P07,^P07
17,2,P07,^P07
26,2,P07,^P07
1,3,P352,^P352
2,4,A543,^A543
2,5,P391,^P391
8,6,Q780,^Q780
9,6,Q780,^Q780
16,6,Q780,^Q780
17,6,Q780,^Q780
26,6,Q780,^Q780
13,7,T74.2,^T742
14,7,T74.2,^T742
43,7,T74.2,^T742
13,8,Y07,^Y07
13,8,X58,^X58
14,8,Y07,^Y07
14,8,X58,^X58
43,8,Y07,^Y07
43,8,X58,^X58
4,9,D65-D69,^D65
4,9,D65-D69,^D66
4,9,D65-D69,^D67
4,9,D65-D69,^D68
4,9,D65-D69,^D69
7,9,D65-D69,^D65
7,9,D65-D69,^D66
7,9,D65-D69,^D67
7,9,D65-D69,^D68
7,9,D65-D69,^D69
10,9,D65-D69,^D65
10,9,D65-D69,^D66
10,9,D65-D69,^D67
10,9,D65-D69,^D68
10,9,D65-D69,^D69
11,9,D65-D69,^D65
11,9,D65-D69,^D66
11,9,D65-D69,^D67
11,9,D65-D69,^D68
11,9,D65-D69,^D69
18,9,D65-D69,^D65
18,9,D65-D69,^D66
18,9,D65-D69,^D67
18,9,D65-D69,^D68
18,9,D65-D69,^D69
4,10,V01-V99,^V01
4,10,V01-V99,^V02
4,10,V01-V99,^V03
4,10,V01-V99,^V04
4,10,V01-V99,^V05
4,10,V01-V99,^V06
4,10,V01-V99,^V07
4,10,V01-V99,^V08
4,10,V01-V99,^V09
4,10,V01-V99,^V10
4,10,V01-V99,^V11
4,10,V01-V99,^V12
4,10,V01-V99,^V13
4,10,V01-V99,^V14
4,10,V01-V99,^V15
4,10,V01-V99,^V16
4,10,V01-V99,^V17
4,10,V01-V99,^V18
4,10,V01-V99,^V19
4,10,V01-V99,^V20
4,10,V01-V99,^V21
4,10,V01-V99,^V22
4,10,V01-V99,^V23
4,10,V01-V99,^V24
4,10,V01-V99,^V25
4,10,V01-V99,^V26
4,10,V01-V99,^V27
4,10,V01-V99,^V28
4,10,V01-V99,^V29
4,10,V01-V99,^V30
4,10,V01-V99,^V31
4,10,V01-V99,^V32
4,10,V01-V99,^V33
4,10,V01-V99,^V34
4,10,V01-V99,^V35
4,10,V01-V99,^V36
4,10,V01-V99,^V37
4,10,V01-V99,^V38
4,10,V01-V99,^V39
4,10,V01-V99,^V40
4,10,V01-V99,^V41
4,10,V01-V99,^V42
4,10,V01-V99,^V43
4,10,V01-V99,^V44
4,10,V01-V99,^V45
4,10,V01-V99,^V46
4,10,V01-V99,^V47
4,10,V01-V99,^V48
4,10,V01-V99,^V49
4,10,V01-V99,^V50
4,10,V01-V99,^V51
4,10,V01-V99,^V52
4,10,V01-V99,^V53
4,10,V01-V99,^V54
4,10,V01-V99,^V55
4,10,V01-V99,^V56
4,10,V01-V99,^V57
4,10,V01-V99,^V58
4,10,V01-V99,^V59
4,10,V01-V99,^V60
4,10,V01-V99,^V61
4,10,V01-V99,^V62
4,10,V01-V99,^V63
4,10,V01-V99,^V64
4,10,V01-V99,^V65
4,10,V01-V99,^V66
4,10,V01-V99,^V67
4,10,V01-V99,^V68
4,10,V01-V99,^V69
4,10,V01-V99,^V70
4,10,V01-V99,^V71
4,10,V01-V99,^V72
4,10,V01-V99,^V73
4,10,V01-V99,^V74
4,10,V01-V99,^V75
4,10,V01-V99,^V76
4,10,V01-V99,^V77
4,10,V01-V99,^V78
4,10,V01-V99,^V79
4,10,V01-V99,^V80
4,10,V01-V99,^V81
4,10,V01-V99,^V82
4,10,V01-V99,^V83
4,10,V01-V99,^V84
4,10,V01-V99,^V85
4,10,V01-V99,^V86
4,10,V01-V99,^V87
4,10,V01-V99,^V88
4,10,V01-V99,^V89
4,10,V01-V99,^V90
4,10,V01-V99,^V91
4,10,V01-V99,^V92
4,10,V01-V99,^V93
4,10,V01-V99,^V94
4,10,V01-V99,^V95
4,10,V01-V99,^V96
4,10,V01-V99,^V97
4,10,V01-V99,^V98
4,10,V01-V99,^V99
22,10,V01-V99,^V01
22,10,V01-V99,^V02
22,10,V01-V99,^V03
22,10,V01-V99,^V04
22,10,V01-V99,^V05
22,10,V01-V99,^V06
22,10,V01-V99,^V07
22,10,V01-V99,^V08
22,10,V01-V99,^V09
22,10,V01-V99,^V10
22,10,V01-V99,^V11
22,10,V01-V99,^V12
22,10,V01-V99,^V13
22,10,V01-V99,^V14
22,10,V01-V99,^V15
22,10,V01-V99,^V16
22,10,V01-V99,^V17
22,10,V01-V99,^V18
22,10,V01-V99,^V19
22,10,V01-V99,^V20
22,10,V01-V99,^V21
22,10,V01-V99,^V22
22,10,V01-V99,^V23
22,10,V01-V99,^V24
22,10,V01-V99,^V25
22,10,V01-V99,^V26
22,10,V01-V99,^V27
22,10,V01-V99,^V28
22,10,V01-V99,^V29
22,10,V01-V99,^V30
22,10,V01-V99,^V31
22,10,V01-V99,^V32
22,10,V01-V99,^V33
22,10,V01-V99,^V34
22,10,V01-V99,^V35
22,10,V01-V99,^V36
22,10,V01-V99,^V37
22,10,V01-V99,^V38
22,10,V01-V99,^V39
22,10,V01-V99,^V40
22,10,V01-V99,^V41
22,10,V01-V99,^V42
22,10,V01-V99,^V43
22,10,V01-V99,^V44
22,10,V01-V99,^V45
22,10,V01-V99,^V46
22,10,V01-V99,^V47
22,10,V01-V99,^V48
22,10,V01-V99,^V49
22,10,V01-V99,^V50
22,10,V01-V99,^V51
22,10,V01-V99,^V52
22,10,V01-V99,^V53
22,10,V01-V99,^V54
22,10,V01-V99,^V55
22,10,V01-V99,^V56
22,10,V01-V99,^V57
22,10,V01-V99,^V58
22,10,V01-V99,^V59
22,10,V01-V99,^V60
22,10,V01-V99,^V61
22,10,V01-V99,^V62
22,10,V01-V99,^V63
22,10,V01-V99,^V64
22,10,V01-V99,^V65
22,10,V01-V99,^V66
22,10,V01-V99,^V67
22,10,V01-V99,^V68
22,10,V01-V99,^V69
22,10,V01-V99,^V70
22,10,V01-V99,^V71
22,10,V01-V99,^V72
22,10,V01-V99,^V73
22,10,V01-V99,^V74
22,10,V01-V99,^V75
22,10,V01-V99,^V76
22,10,V01-V99,^V77
22,10,V01-V99,^V78
22,10,V01-V99,^V79
22,10,V01-V99,^V80
22,10,V01-V99,^V81
22,10,V01-V99,^V82
22,10,V01-V99,^V83
22,10,V01-V99,^V84
22,10,V01-V99,^V85
22,10,V01-V99,^V86
22,10,V01-V99,^V87
22,10,V01-V99,^V88
22,10,V01-V99,^V89
22,10,V01-V99,^V90
22,10,V01-V99,^V91
22,10,V01-V99,^V92
22,10,V01-V99,^V93
22,10,V01-V99,^V94
22,10,V01-V99,^V95
22,10,V01-V99,^V96
22,10,V01-V99,^V97
22,10,V01-V99,^V98
22,10,V01-V99,^V99
32,11,X00-X08,^X00
32,11,X00-X08,^X01
32,11,X00-X08,^X02
32,11,X00-X08,^X03
32,11,X00-X08,^X04
32,11,X00-X08,^X05
32,11,X00-X08,^X06
32,11,X00-X08,^X07
32,11,X00-X08,^X08
33,11,X00-X08,^X00
33,11,X00-X08,^X01
33,11,X00-X08,^X02
33,11,X00-X08,^X03
33,11,X00-X08,^X04
33,11,X00-X08,^X05
33,11,X00-X08,^X06
33,11,X00-X08,^X07
33,11,X00-X08,^X08
34,11,X00-X08,^X00
34,11,X00-X08,^X01
34,11,X00-X08,^X02
34,11,X00-X08,^X03
34,11,X00-X08,^X04
34,11,X00-X08,^X05
34,11,X00-X08,^X06
34,11,X00-X08,^X07
34,11,X00-X08,^X08
35,11,X00-X08,^X00
35,11,X00-X08,^X01
35,11,X00-X08,^X02
35,11,X00-X08,^X03
35,11,X00-X08,^X04
35,11,X00-X08,^X05
35,11,X00-X08,^X06
35,11,X00-X08,^X07
35,11,X00-X08,^X08
36,12,Y62-Y69,^Y62
36,12,Y62-Y69,^Y63
36,12,Y62-Y69,^Y64
36,12,Y62-Y69,^Y65
36,12,Y62-Y69,^Y66
36,12,Y62-Y69,^Y67
36,12,Y62-Y69,^Y68
36,12,Y62-Y69,^Y69
8,13,M84.4,^M844
8,13,M84.5,^M845
8,13,M84.6,^M846
8,13,M80.0,^M800
9,13,M84.4,^M844
9,13,M84.5,^M845
9,13,M84.6,^M846
9,13,M80.0,^M800
16,13,M84.4,^M844
16,13,M84.5,^M845
16,13,M84.6,^M846
16,13,M80.0,^M800
17,13,M84.4,^M844
17,13,M84.5,^M845
17,13,M84.6,^M846
17,13,M80.0,^M800
26,13,M84.4,^M844
26,13,M84.5,^M845
26,13,M84.6,^M846
26,13,M80.0,^M800
7,14,V20-V99,^V20
7,14,V20-V99,^V21
7,14,V20-V99,^V22
7,14,V20-V99,^V23
7,14,V20-V99,^V24
7,14,V20-V99,^V25
7,14,V20-V99,^V26
7,14,V20-V99,^V27
7,14,V20-V99,^V28
7,14,V20-V99,^V29
7,14,V20-V99,^V30
7,14,V20-V99,^V31
7,14,V20-V99,^V32
7,14,V20-V99,^V33
7,14,V20-V99,^V34
7,14,V20-V99,^V35
7,14,V20-V99,^V36
7,14,V20-V99,^V37
7,14,V20-V99,^V38
7,14,V20-V99,^V39
7,14,V20-V99,^V40
7,14,V20-V99,^V41
7,14,V20-V99,^V42
7,14,V20-V99,^V43
7,14,V20-V99,^V44
7,14,V20-V99,^V45
7,14,V20-V99,^V46
7,14,V20-V99,^V47
7,14,V20-V99,^V48
7,14,V20-V99,^V49
7,14,V20-V99,^V50
7,14,V20-V99,^V51
7,14,V20-V99,^V52
7,14,V20-V99,^V53
7,14,V20-V99,^V54
7,14,V20-V99,^V55
7,14,V20-V99,^V56
7,14,V20-V99,^V57
7,14,V20-V99,^V58
7,14,V20-V99,^V59
7,14,V20-V99,^V60
7,14,V20-V99,^V61
7,14,V20-V99,^V62
7,14,V20-V99,^V63
7,14,V20-V99,^V64
7,14,V20-V99,^V65
7,14,V20-V99,^V66
7,14,V20-V99,^V67
7,14,V20-V99,^V68
7,14,V20-V99,^V69
7,14,V20-V99,^V70
7,14,V20-V99,^V71
7,14,V20-V99,^V72
7,14,V20-V99,^V73
7,14,V20-V99,^V74
7,14,V20-V99,^V75
7,14,V20-V99,^V76
7,14,V20-V99,^V77
7,14,V20-V99,^V78
7,14,V20-V99,^V79
7,14,V20-V99,^V80
7,14,V20-V99,^V81
7,14,V20-V99,^V82
7,14,V20-V99,^V83
7,14,V20-V99,^V84
7,14,V20-V99,^V85
7,14,V20-V99,^V86
7,14,V20-V99,^V87
7,14,V20-V99,^V88
7,14,V20-V99,^V89
7,14,V20-V99,^V90
7,14,V20-V99,^V91
7,14,V20-V99,^V92
7,14,V20-V99,^V93
7,14,V20-V99,^V94
7,14,V20-V99,^V95
7,14,V20-V99,^V96
7,14,V20-V99,^V97
7,14,V20-V99,^V98
7,14,V20-V99,^V99
8,14,V20-V99,^V20
8,14,V20-V99,^V21
8,14,V20-V99,^V22
8,14,V20-V99,^V23
8,14,V20-V99,^V24
8,14,V20-V99,^V25
8,14,V20-V99,^V26
8,14,V20-V99,^V27
8,14,V20-V99,^V28
8,14,V20-V99,^V29
8,14,V20-V99,^V30
8,14,V20-V99,^V31
8,14,V20-V99,^V32
8,14,V20-V99,^V33
8,14,V20-V99,^V34
8,14,V20-V99,^V35
8,14,V20-V99,^V36
8,14,V20-V99,^V37
8,14,V20-V99,^V38
8,14,V20-V99,^V39
8,14,V20-V99,^V40
8,14,V20-V99,^V41
8,14,V20-V99,^V42
8,14,V20-V99,^V43
8,14,V20-V99,^V44
8,14,V20-V99,^V45
8,14,V20-V99,^V46
8,14,V20-V99,^V47
8,14,V20-V99,^V48
8,14,V20-V99,^V49
8,14,V20-V99,^V50
8,14,V20-V99,^V51
8,14,V20-V99,^V52
8,14,V20-V99,^V53
8,14,V20-V99,^V54
8,14,V20-V99,^V55
8,14,V20-V99,^V56
8,14,V20-V99,^V57
8,14,V20-V99,^V58
8,14,V20-V99,^V59
8,14,V20-V99,^V60
8,14,V20-V99,^V61
8,14,V20-V99,^V62
8,14,V20-V99,^V63
8,14,V20-V99,^V64
8,14,V20-V99,^V65
8,14,V20-V99,^V66
8,14,V20-V99,^V67
8,14,V20-V99,^V68
8,14,V20-V99,^V69
8,14,V20-V99,^V70
8,14,V20-V99,^V71
8,14,V20-V99,^V72
8,14,V20-V99,^V73
8,14,V20-V99,^V74
8,14,V20-V99,^V75
8,14,V20-V99,^V76
8,14,V20-V99,^V77
8,14,V20-V99,^V78
8,14,V20-V99,^V79
8,14,V20-V99,^V80
8,14,V20-V99,^V81
8,14,V20-V99,^V82
8,14,V20-V99,^V83
8,14,V20-V99,^V84
8,14,V20-V99,^V85
8,14,V20-V99,^V86
8,14,V20-V99,^V87
8,14,V20-V99,^V88
8,14,V20-V99,^V89
8,14,V20-V99,^V90
8,14,V20-V99,^V91
8,14,V20-V99,^V92
8,14,V20-V99,^V93
8,14,V20-V99,^V94
8,14,V20-V99,^V95
8,14,V20-V99,^V96
8,14,V20-V99,^V97
8,14,V20-V99,^V98
8,14,V20-V99,^V99
9,14,V20-V99,^V20
9,14,V20-V99,^V21
9,14,V20-V99,^V22
9,14,V20-V99,^V23
9,14,V20-V99,^V24
9,14,V20-V99,^V25
9,14,V20-V99,^V26
9,14,V20-V99,^V27
9,14,V20-V99,^V28
9,14,V20-V99,^V29
9,14,V20-V99,^V30
9,14,V20-V99,^V31
9,14,V20-V99,^V32
9,14,V20-V99,^V33
9,14,V20-V99,^V34
9,14,V20-V99,^V35
9,14,V20-V99,^V36
9,14,V20-V99,^V37
9,14,V20-V99,^V38
9,14,V20-V99,^V39
9,14,V20-V99,^V40
9,14,V20-V99,^V41
9,14,V20-V99,^V42
9,14,V20-V99,^V43
9,14,V20-V99,^V44
9,14,V20-V99,^V45
9,14,V20-V99,^V46
9,14,V20-V99,^V47
9,14,V20-V99,^V48
9,14,V20-V99,^V49
9,14,V20-V99,^V50
9,14,V20-V99,^V51
9,14,V20-V99,^V52
9,14,V20-V99,^V53
9,14,V20-V99,^V54
9,14,V20-V99,^V55
9,14,V20-V99,^V56
9,14,V20-V99,^V57
9,14,V20-V99,^V58
9,14,V20-V99,^V59
9,14,V20-V99,^V60
9,14,V20-V99,^V61
9,14,V20-V99,^V62
9,14,V20-V99,^V63
9,14,V20-V99,^V64
9,14,V20-V99,^V65
9,14,V20-V99,^V66
9,14,V20-V99,^V67
9,14,V20-V99,^V68
9,14,V20-V99,^V69
9,14,V20-V99,^V70
9,14,V20-V99,^V71
9,14,V20-V99,^V72
9,14,V20-V99,^V73
9,14,V20-V99,^V74
9,14,V20-V99,^V75
9,14,V20-V99,^V76
9,14,V20-V99,^V77
9,14,V20-V99,^V78
9,14,V20-V99,^V79
9,14,V20-V99,^V80
9,14,V20-V99,^V81
9,14,V20-V99,^V82
9,14,V20-V99,^V83
9,14,V20-V99,^V84
9,14,V20-V99,^V85
9,14,V20-V99,^V86
9,14,V20-V99,^V87
9,14,V20-V99,^V88
9,14,V20-V99,^V89
9,14,V20-V99,^V90
9,14,V20-V99,^V91
9,14,V20-V99,^V92
9,14,V20-V99,^V93
9,14,V20-V99,^V94
9,14,V20-V99,^V95
9,14,V20-V99,^V96
9,14,V20-V99,^V97
9,14,V20-V99,^V98
9,14,V20-V99,^V99
10,14,V20-V99,^V20
10,14,V20-V99,^V21
10,14,V20-V99,^V22
10,14,V20-V99,^V23
10,14,V20-V99,^V24
10,14,V20-V99,^V25
10,14,V20-V99,^V26
10,14,V20-V99,^V27
10,14,V20-V99,^V28
10,14,V20-V99,^V29
10,14,V20-V99,^V30
10,14,V20-V99,^V31
10,14,V20-V99,^V32
10,14,V20-V99,^V33
10,14,V20-V99,^V34
10,14,V20-V99,^V35
10,14,V20-V99,^V36
10,14,V20-V99,^V37
10,14,V20-V99,^V38
10,14,V20-V99,^V39
10,14,V20-V99,^V40
10,14,V20-V99,^V41
10,14,V20-V99,^V42
10,14,V20-V99,^V43
10,14,V20-V99,^V44
10,14,V20-V99,^V45
10,14,V20-V99,^V46
10,14,V20-V99,^V47
10,14,V20-V99,^V48
10,14,V20-V99,^V49
10,14,V20-V99,^V50
10,14,V20-V99,^V51
10,14,V20-V99,^V52
10,14,V20-V99,^V53
10,14,V20-V99,^V54
10,14,V20-V99,^V55
10,14,V20-V99,^V56
10,14,V20-V99,^V57
10,14,V20-V99,^V58
10,14,V20-V99,^V59
10,14,V20-V99,^V60
10,14,V20-V99,^V61
10,14,V20-V99,^V62
10,14,V20-V99,^V63
10,14,V20-V99,^V64
10,14,V20-V99,^V65
10,14,V20-V99,^V66
10,14,V20-V99,^V67
10,14,V20-V99,^V68
10,14,V20-V99,^V69
10,14,V20-V99,^V70
10,14,V20-V99,^V71
10,14,V20-V99,^V72
10,14,V20-V99,^V73
10,14,V20-V99,^V74
10,14,V20-V99,^V75
10,14,V20-V99,^V76
10,14,V20-V99,^V77
10,14,V20-V99,^V78
10,14,V20-V99,^V79
10,14,V20-V99,^V80
10,14,V20-V99,^V81
10,14,V20-V99,^V82
10,14,V20-V99,^V83
10,14,V20-V99,^V84
10,14,V20-V99,^V85
10,14,V20-V99,^V86
10,14,V20-V99,^V87
10,14,V20-V99,^V88
10,14,V20-V99,^V89
10,14,V20-V99,^V90
10,14,V20-V99,^V91
10,14,V20-V99,^V92
10,14,V20-V99,^V93
10,14,V20-V99,^V94
10,14,V20-V99,^V95
10,14,V20-V99,^V96
10,14,V20-V99,^V97
10,14,V20-V99,^V98
10,14,V20-V99,^V99
11,14,V20-V99,^V20
11,14,V20-V99,^V21
11,14,V20-V99,^V22
11,14,V20-V99,^V23
11,14,V20-V99,^V24
11,14,V20-V99,^V25
11,14,V20-V99,^V26
11,14,V20-V99,^V27
11,14,V20-V99,^V28
11,14,V20-V99,^V29
11,14,V20-V99,^V30
11,14,V20-V99,^V31
11,14,V20-V99,^V32
11,14,V20-V99,^V33
11,14,V20-V99,^V34
11,14,V20-V99,^V35
11,14,V20-V99,^V36
11,14,V20-V99,^V37
11,14,V20-V99,^V38
11,14,V20-V99,^V39
11,14,V20-V99,^V40
11,14,V20-V99,^V41
11,14,V20-V99,^V42
11,14,V20-V99,^V43
11,14,V20-V99,^V44
11,14,V20-V99,^V45
11,14,V20-V99,^V46
11,14,V20-V99,^V47
11,14,V20-V99,^V48
11,14,V20-V99,^V49
11,14,V20-V99,^V50
11,14,V20-V99,^V51
11,14,V20-V99,^V52
11,14,V20-V99,^V53
11,14,V20-V99,^V54
11,14,V20-V99,^V55
11,14,V20-V99,^V56
11,14,V20-V99,^V57
11,14,V20-V99,^V58
11,14,V20-V99,^V59
11,14,V20-V99,^V60
11,14,V20-V99,^V61
11,14,V20-V99,^V62
11,14,V20-V99,^V63
11,14,V20-V99,^V64
11,14,V20-V99,^V65
11,14,V20-V99,^V66
11,14,V20-V99,^V67
11,14,V20-V99,^V68
11,14,V20-V99,^V69
11,14,V20-V99,^V70
